trial,colsample_bytree,subsample,learning_rate,max_depth,max_delta_step,base_score,best_round,best_auc
1,0.8202588968776587,0.7333520135060776,0.047762728895706104,8,1,0.4426135408319159,117,0.8416888060830375
2,0.6040430136521328,0.7118057911830358,0.022873750760556765,8,0,0.4287833259138777,286,0.8412357684704819
3,0.601470348749506,0.9153161647388985,0.02264693575139786,5,0,0.45725318924570035,383,0.8424733784482783
4,0.9004766779677215,0.7248982458283519,0.04349481397793781,6,2,0.26445908279651675,138,0.8427771817763634
5,0.8999992920936828,0.7698062530527955,0.03067028333458653,8,2,0.43809421647173324,186,0.8413625146300706
6,0.5282123413089977,0.8689674575779442,0.042908505759640975,7,1,0.05932522234982939,144,0.8421091186691733
7,0.7948093760394054,0.981566557151239,0.03794594758010145,7,2,0.05253832425226488,112,0.8417598718976815
8,0.6426705492669373,0.9161531363137472,0.008449032851646377,7,0,0.1399125815046164,708,0.842251799914116
9,0.7216640018582683,0.9462258580044678,0.013058986706808197,7,1,0.4578308091550442,538,0.8419130902702653
10,0.6557603665130531,0.8857933347164086,0.03571743462037876,4,0,0.09557912081183612,317,0.8416575103335504
11,0.8248904262046146,0.9736790785984234,0.015263125958906065,7,1,0.46056090741250905,435,0.8417308754685449
12,0.5493864258185216,0.9589812184268797,0.047495299622429425,6,1,0.057648862937459334,135,0.8423493947919874
13,0.6015343935673989,0.7072992597083123,0.026330585850180225,7,3,0.18924364076434347,230,0.8415768958899138
14,0.5525250918717632,0.9440129714139702,0.03985721658804843,7,1,0.2575226000269159,196,0.8419078799005467
15,0.6219100904961945,0.8109051472220438,0.04127405237465283,8,1,0.41118376598147216,191,0.8410577312974062
16,0.7639226070061507,0.9678151419300732,0.007785839175111116,8,1,0.27152781907168605,728,0.8411495305586948
17,0.7865659991396817,0.7119817709440759,0.040603727196519966,8,3,0.3708873882284784,134,0.8412332070773061
18,0.8699779781408762,0.8814614461107755,0.048832563429408546,8,3,0.2296576576656288,94,0.8409455028424228
19,0.8879741961168317,0.8362526959543218,0.03528401318669964,6,0,0.4619187586851865,212,0.8422618004876842
20,0.6318782539385659,0.7077603992303857,0.03298167921039414,7,1,0.3422061535184832,232,0.8422065960028219
